timestamp,aX,aY,aZ,gX,gY,gZ
3061.2,-0.476,-1.051,2.14,131.226,63.11,-373.413
3081.608,-0.559,-2.317,1.792,96.802,115.662,-301.758
3102.016,-0.541,-2.038,2.022,54.871,112.793,-122.314
3122.424,-0.354,-1.303,1.943,37.048,171.936,-58.411
3142.832,-0.523,-1.727,1.199,49.194,212.524,-66.345
3163.24,-0.469,-1.729,1.311,36.255,193.42,-33.813
3183.648,-0.427,-1.597,1.346,18.738,214.844,-21.667
3204.056,-0.344,-1.161,1.243,1.709,239.685,1.099
3224.464,-0.385,-1.021,1.053,13.123,261.841,-4.272
3244.872,-0.427,-1.037,0.607,10.681,262.939,-3.54
3265.28,-0.41,-1.104,0.586,-7.446,226.685,-5.737
3285.688,-0.577,-1.483,0.515,-33.875,244.69,-6.775
3306.096,-0.658,-1.536,0.25,-37.17,258.911,14.771
3326.504,-0.682,-1.593,-0.179,-25.818,231.873,36.438
3346.912,-0.547,-1.528,-0.284,-13.245,167.358,72.449
3367.32,-0.447,-1.238,-0.048,10.742,107.849,104.797
3387.728,-0.404,-1.183,0.195,21.24,81.055,122.07
3408.136,-0.287,-0.925,0.434,7.202,87.708,160.461
3428.544,-0.228,-0.629,0.154,-15.076,111.877,179.138
3448.952,-0.185,-0.516,0.041,-14.282,105.408,180.969
3469.36,-0.11,-0.549,0.029,-5.859,81.299,183.167
3489.768,0.112,-0.03,0.104,9.399,57.312,211.853
3510.176,0.241,0.196,0.118,26.855,51.147,192.749
3530.584,0.374,0.283,-0.003,36.133,46.265,155.701
3550.992,0.44,0.207,0.062,23.56,36.987,130.31
3571.4,0.492,0.322,-0.056,27.1,38.208,123.291
3591.808,0.592,0.446,-0.152,57.739,-2.014,99.67
3612.216,0.681,0.435,0.095,63.904,-33.081,83.74
3632.624,0.98,0.597,0.094,45.837,-21.973,69.092
3653.032,0.882,0.499,-0.036,36.072,-15.503,57.434
3673.44,1.001,0.583,0.108,-4.578,8.301,43.457
3693.848,1.056,0.572,0.242,-13.916,-1.77,34.241
3714.256,1.189,0.64,0.294,-9.583,4.456,25.391
3734.664,1.292,0.782,0.385,13.367,0.854,-1.587
3755.072,1.216,0.493,0.261,39.734,8.789,-33.081
3775.48,1.124,0.232,0.284,21.301,15.198,-28.931
3795.888,1.051,0.026,0.337,3.052,4.578,-25.208
3816.296,1.061,-0.043,0.451,-6.714,13.245,-16.235
3836.704,1,-0.07,0.295,3.54,31.311,-10.254
3857.112,0.974,-0.077,0.239,3.601,27.039,-2.441
3877.52,0.949,-0.03,0.21,0,28.137,-0.732
3897.928,0.967,0.014,0.171,2.136,25.085,-0.549
3918.336,0.971,0.047,0.199,5.31,20.569,-2.686
3938.744,0.94,-0.058,0.12,5.432,20.63,-7.629
3959.152,0.948,-0.031,0.132,-2.502,6.348,-2.991
3979.56,0.96,0.011,0.179,-1.709,4.395,-5.615
3999.968,0.889,-0.147,0.067,-2.075,12.573,-7.69
4020.376,0.911,-0.124,0.114,-2.686,5.31,0.977
4040.784,0.921,-0.09,0.113,2.319,4.15,4.272
4061.192,0.946,-0.045,0.081,1.587,6.042,8.362
4081.6,1.011,0.128,0.073,-2.014,2.625,6.958
4102.008,0.974,0.05,0.057,3.54,5.371,-3.723
4122.416,0.983,0.052,0.107,0.977,-2.93,-2.747
