timestamp,aX,aY,aZ,gX,gY,gZ
4938.736,-2.694,-0.462,1.11,-104.614,-551.758,226.379
4959.144,-2.544,0.023,2.046,-102.051,-623.962,278.87
4979.552,-2.018,0.259,3.041,-70.129,-590.515,241.516
4999.96,-1.539,-0.691,3.183,-44.739,-391.541,153.259
5020.368,-1.739,-0.866,2.679,-88.318,-220.154,241.516
5040.776,-1.756,-0.388,1.99,-16.541,-132.935,282.532
5061.184,-1.821,-0.448,2.01,-29.907,-142.151,293.823
5081.592,-1.906,-0.717,2.263,-48.035,-107.178,309.082
5102,-2.573,-1.083,2.161,49.255,-15.381,373.413
5122.408,-2.628,-0.101,1.458,206.177,-0.732,487.915
5142.816,-2.071,0.746,1.888,140.991,-196.594,435.425
5163.224,-1.774,1.008,3.344,-134.888,-228.21,313.416
5183.632,-1.39,1.674,3.42,-197.388,23.132,95.093
5204.04,-1.497,0.548,1.815,-250.793,126.77,-88.806
5224.448,-1.221,0.471,1.922,-210.205,116.943,-117.859
5244.856,-1.206,1.383,2.145,-138.367,171.936,-174.5
5265.264,-1.009,0.798,2.13,-169.678,201.355,-309.998
5285.672,-0.83,-0.68,1.888,-262.817,250.549,-385.193
5306.08,-0.462,-0.911,1.257,-212.341,337.036,-295.898
5326.488,-0.12,-1.531,1.171,-259.583,353.21,-147.522
5346.896,-0.021,-1.413,1.323,-262.939,395.935,-13.306
5367.304,-0.156,-0.223,0.04,-164.429,497.681,108.093
5387.712,-0.235,0.29,-0.722,-132.568,463.013,88.379
5408.12,-0.128,0.353,-0.915,-96.375,367.615,57.861
5428.528,-0.193,0.364,-0.829,-67.566,231.14,53.223
5448.936,-0.518,1.088,-0.689,-14.954,148.193,85.266
5469.344,-0.441,1.164,-0.542,-3.967,91.736,31.128
5489.752,-0.708,1.047,-0.389,8.789,65.063,-62.195
5510.16,-0.836,1.384,-0.445,61.768,49.5,-131.653
5530.568,-0.882,0.767,-0.334,35.217,-12.268,-285.583
5550.976,-0.813,0.268,-0.053,36.987,-55.603,-334.839
5571.384,-0.701,-0.103,0.266,60.974,-76.233,-326.233
5591.792,-0.708,0.003,0.246,79.651,-37.231,-297.241
5612.2,-0.752,0.327,0.078,97.168,-24.414,-321.472
5632.608,-0.879,0.144,0.314,50.11,-54.81,-380.127
5653.016,-1.008,-0.185,0.532,67.688,-60.73,-463.379
5673.424,-1.055,-1.019,0.884,30.823,-96.802,-548.218
5693.832,-1.212,-1.306,1.308,20.813,-104.065,-468.811
5714.24,-1.187,-1.12,1.893,89.966,-57.129,-394.897
5734.648,-1.599,-1.391,2.032,31.982,97.29,-416.87
5755.056,-1.736,-2.02,1.38,51.575,253.113,-473.999
5775.464,-1.728,-2.675,0.764,137.451,292.419,-472.229
5795.872,-1.413,-3.1,0.314,150.818,274.719,-332.581
5816.28,-1.283,-2.58,1.163,56.641,212.891,-164.185
5836.688,-1.27,-2.964,0.785,108.521,330.444,-156.555
5857.096,-1.272,-3.171,-0.4,149.231,354.736,-99.609
5877.504,-1.12,-2.458,-0.185,168.335,236.755,38.818
5897.912,-1.187,-2.704,-0.382,204.224,238.281,40.161
5918.32,-1.274,-2.674,-0.569,185.73,230.896,100.22
5938.728,-1.385,-1.99,-0.373,137.268,181.396,215.21
5959.136,-1.238,-1.572,-0.301,150.269,167.847,258.118
5979.544,-1.231,-1.385,-0.434,159.851,162.659,275.452
5999.952,-1.065,-0.9,-0.543,174.5,117.249,313.538
6020.36,-0.833,-0.641,-0.582,172.485,66.284,298.95
6040.768,-0.714,-0.587,-0.539,171.814,14.16,285.217
6061.176,-0.665,-0.427,-0.527,171.997,-5.554,292.053
6081.584,-0.579,-0.223,-0.605,154.114,-41.443,301.636
6101.992,-0.459,-0.077,-0.617,100.586,-77.637,301.636
6122.4,-0.356,-0.019,-0.44,80.322,-91.858,282.593
6142.808,-0.278,0.281,-0.197,123.047,-80.261,283.203
6163.216,-0.133,0.627,-0.397,129.7,-69.153,259.216
6183.624,-0.033,0.672,-0.575,99.976,-110.901,169.922
6204.032,0.137,0.5,-0.392,82.397,-149.17,112.183
6224.44,0.288,0.457,0.039,108.337,-162.842,75.562
6244.848,0.35,0.572,0.051,136.78,-140.991,38.269
6265.256,0.493,0.535,0.096,121.521,-145.325,-1.16
6285.664,0.677,0.097,0.425,59.387,-168.823,-28.137
6306.072,0.682,0.025,0.503,28.625,-137.451,-3.479
6326.48,0.818,0.52,0.175,49.866,-94.91,26.367
6346.888,0.917,0.632,0.484,62.378,-116.272,-40.222
6367.296,1.076,0.06,0.651,63.66,-73.975,-86.365
6387.704,1.19,-0.113,0.675,19.287,-48.889,-39.063
6408.112,1.28,0.134,0.592,-9.705,-29.907,-3.357
6428.52,1.334,0.566,0.787,-28.931,-37.476,-11.963
6448.928,1.303,0.249,0.902,12.329,9.644,-78.064
6469.336,1.284,-0.257,0.475,-3.54,47.974,-81.36
6489.744,1.28,0.03,0.459,-35.522,30.334,-22.888
6510.152,1.153,0.061,0.284,22.4,51.514,-44.617
6530.56,1.129,-0.135,-0.07,43.213,55.725,-62.195
6550.968,1.051,-0.272,0.139,24.292,11.169,-45.105
6571.376,1.001,-0.078,-0.043,72.205,16.602,-18.066
6591.784,0.962,-0.02,-0.296,55.115,6.409,-28.564
6612.192,0.94,0.126,-0.038,16.785,-81.055,-52.979
6632.6,0.859,-0.152,0.507,-30.029,-110.046,-91.736
6653.008,0.969,-0.544,0.687,-49.438,-57.861,-96.313
6673.416,0.848,-0.776,0.312,40.71,62.134,-7.263
6693.824,0.886,0.049,-0.3,104.248,70.374,86.731
6714.232,0.934,0.361,-0.244,85.693,10.742,51.636
6734.64,0.892,-0.422,0.436,4.15,-51.941,-23.01
6755.048,0.902,-0.535,0.397,48.584,20.447,46.936
6775.456,0.907,-0.046,0.138,62.744,28.381,75.928
6795.864,0.999,-0.029,0.429,15.869,25.879,57.617
6816.272,0.995,-0.162,0.4,-38.391,56.091,57.8
6836.68,1.022,0.092,-0.091,-94.91,83.435,73.364
6857.088,0.985,0.233,-0.151,-91.309,47.974,50.72
6877.496,1.013,0.025,-0.085,-98.999,16.541,4.028
6897.904,0.972,-0.124,-0.03,-86.243,1.099,8.057
6918.312,0.957,0.048,-0.026,-49.5,2.808,18.005
6938.72,0.992,-0.004,0.04,-28.87,-2.502,11.169
6959.128,1.004,-0.011,0.197,-33.447,12.939,15.015
6979.536,0.999,0.006,0.115,-29.053,14.954,15.137
6999.944,1.012,-0.026,-0.069,-13.55,15.991,9.644
7020.352,1.015,0.006,0.033,-12.024,0.122,11.963
7040.76,1.011,0.065,0.104,-11.23,5.737,11.841
7061.168,0.99,0.074,0.076,-18.433,8.179,8.301
7081.576,0.971,0.056,-0.023,-35.034,8.728,7.202
7101.984,0.99,0.02,0.032,-48.95,-2.563,4.395
7122.392,0.978,0.054,0.047,-47.058,2.136,3.662
7142.8,0.976,-0.005,-0.021,-32.288,9.827,-1.221
7163.208,0.977,0.018,-0.028,-48.828,5.493,3.174
7183.616,0.983,0.039,0.026,-39.063,5.676,6.897
7204.024,0.978,0.092,0,-27.405,4.7,10.254
7224.432,0.985,0.139,0.063,-28.931,2.258,5.371
7244.84,0.977,-0.006,-0.001,-24.048,7.202,-3.784
7265.248,0.991,0.045,-0.004,-10.498,6.958,5.005
7285.656,1.526,-0.878,0.68,-25.33,47.607,26.245
7306.064,1.562,-0.684,0.635,-24.048,91.37,79.834
7326.472,1.551,-0.336,0.341,-6.775,133.118,100.403
7346.88,1.477,-0.284,0.286,29.724,164.917,99.304
7367.288,1.34,-0.051,0.239,54.749,187.256,111.084
7387.696,1.129,0.407,-0.126,65.002,213.501,111.755
7408.104,1.004,0.425,-0.214,59.692,213.074,101.685
7428.512,0.648,0.647,-0.571,42.114,239.258,118.713
7448.92,0.224,0.91,-0.802,9.216,232.971,126.77
7469.328,-0.095,0.815,-1.201,-0.977,223.816,94.543
7489.736,-0.388,0.752,-1.526,37.109,164.307,46.814
7510.144,-0.528,0.459,-1.56,78.369,99.854,1.099
7530.552,-0.737,0.356,-1.359,99.915,49.133,2.136
7550.96,-1.062,0.647,-1.804,105.713,5.554,6.287
7571.368,-1.086,0.863,-1.752,125.244,-119.629,-28.687
7591.776,-1.032,0.744,-0.96,141.235,-166.321,-65.247
7612.184,-0.997,1.106,-0.654,168.335,-192.566,-97.473
7632.592,-0.901,1.108,0.153,126.038,-216.492,-147.339
7653,-0.924,1.025,0.282,96.191,-169.617,-254.517
7673.408,-1.062,0.725,0.104,92.041,-171.631,-302.307
7693.816,-1.104,0.243,0.395,110.718,-200.806,-372.192
7714.224,-1.088,0.171,0.438,148.132,-179.81,-396.362
7734.632,-1.17,0.086,0.479,165.344,-178.955,-425.842
