aX,aY,aZ,gX,gY,gZ
0.987,0.004,-0.051,3.784,3.296,-11.047
0.968,-0.078,0.013,7.812,1.160,-9.460
0.986,-0.127,-0.030,-0.427,5.310,-5.188
1.002,0.003,-0.008,2.747,3.174,6.470
1.003,-0.012,-0.013,1.038,4.700,0.549
0.990,-0.099,-0.061,-1.343,6.042,0.000
1.002,-0.073,-0.032,-4.822,3.845,5.066
1.006,-0.061,-0.000,-6.897,6.348,4.456
1.010,-0.080,-0.068,-5.554,10.376,9.766
1.014,0.063,-0.054,-0.061,4.944,8.484
0.994,-0.016,-0.080,-1.221,8.667,-1.465
0.973,-0.053,-0.084,-2.502,5.127,-0.793
0.975,-0.017,-0.090,-0.061,1.892,3.479
0.973,-0.031,-0.052,-2.625,-0.610,-0.977
0.960,-0.037,-0.050,3.052,3.418,3.662
0.951,-0.028,-0.095,2.380,5.615,3.174
0.949,-0.027,-0.080,1.099,3.601,3.845
0.967,-0.029,-0.061,-0.183,-0.488,3.052
0.981,0.006,-0.044,4.883,-1.099,3.540
0.981,-0.031,-0.055,4.456,0.488,-0.366
0.997,-0.016,-0.038,3.662,-0.427,1.343
0.990,-0.001,-0.038,6.470,3.235,-0.732
0.986,-0.024,-0.099,7.141,1.953,-2.991
0.982,-0.113,-0.025,1.099,-3.418,-2.014
0.993,0.005,-0.056,8.057,2.258,3.418
0.991,-0.087,-0.077,-1.282,1.526,-0.854
1.006,0.013,-0.036,-0.122,0.549,9.216
1.012,0.053,-0.065,1.770,4.089,5.554
1.000,0.008,-0.086,-1.526,4.028,0.549
0.999,-0.037,-0.069,-4.578,2.075,0.183

1.526,0.194,0.842,-9.155,109.619,41.931
1.462,0.307,0.597,-15.137,166.443,51.697
1.306,0.643,0.081,-29.663,219.299,73.975
1.166,0.801,-0.127,-35.339,225.098,56.763
0.848,0.388,-0.530,-35.461,240.173,-15.198
0.689,0.008,-0.775,-40.283,241.394,-25.818
0.358,0.177,-1.013,-42.114,207.031,26.672
0.157,0.469,-1.323,-47.852,209.106,43.579
-0.193,0.562,-1.640,-58.716,158.203,-13.611
-0.577,0.511,-1.825,-38.147,128.845,-66.345
-1.078,-0.091,-2.310,-43.518,93.323,-138.611
-1.579,-0.382,-2.616,-112.915,-7.996,-113.708
-1.861,-0.337,-2.934,-112.305,-104.492,-77.942
-2.297,-0.582,-2.169,-89.844,-381.836,-72.571
-2.460,-1.172,-0.831,-41.260,-531.006,-67.078
-3.010,-1.445,-0.061,-8.606,-600.159,19.165
-3.359,-1.479,0.359,-7.202,-649.109,82.275
-3.965,-1.693,1.602,13.062,-766.113,160.706
-3.989,-1.841,2.246,-57.861,-762.146,240.967
-3.609,-0.788,2.476,-167.175,-544.617,483.826
-2.863,0.330,1.824,-98.328,-414.246,545.044
-2.604,0.170,2.234,-123.352,-444.824,457.397
-2.422,0.067,2.832,-80.200,-405.334,443.359
-2.647,-0.036,3.128,-45.044,-341.248,447.266
-2.844,0.144,3.156,-36.377,-158.386,511.841
-3.043,0.452,2.895,-22.278,-60.547,593.201
-2.911,1.136,2.584,-27.283,-10.437,606.567
-2.707,1.770,2.122,-10.071,54.199,515.686
-2.302,1.997,1.827,-22.278,45.715,383.118
-1.845,1.148,2.064,-184.387,-11.292,125.732
-1.755,0.571,2.542,-267.944,-4.395,35.339
-1.817,0.391,2.392,-274.414,161.560,19.165
