aX,aY,aZ,gX,gY,gZ
1.296,0.482,0.312,26.489,25.879,-14.160
1.245,0.581,0.101,6.165,44.189,-11.414
1.208,0.290,0.069,-9.766,30.396,-39.612
1.182,0.086,0.182,-23.621,19.104,-28.748
1.125,0.043,0.088,-43.823,28.442,-25.391
1.073,0.038,0.025,-26.489,22.949,-16.113
1.078,-0.064,0.152,-0.488,24.780,-17.212
1.048,0.009,0.083,20.020,48.889,-2.014
0.984,0.006,-0.021,19.287,55.786,-2.502
0.934,-0.035,-0.237,0.977,57.556,-0.305
0.929,0.002,-0.269,-0.671,40.649,7.202
0.932,0.091,-0.130,17.029,23.071,8.911
0.911,0.021,-0.150,22.461,27.100,3.967
0.923,0.215,-0.125,19.531,25.879,14.404
0.911,0.270,-0.216,10.376,29.175,5.615
0.917,0.193,-0.256,2.075,12.512,-9.399
0.941,0.120,-0.188,-2.625,-0.244,-16.357
0.931,0.073,-0.112,-1.465,-2.808,-14.954
0.927,0.018,-0.147,-2.197,1.587,-14.587
0.911,0.038,-0.200,-3.906,0.183,-7.996
0.937,0.005,-0.167,-17.151,-2.380,-6.409
0.972,0.125,-0.163,-5.371,-2.258,-5.859
0.981,0.015,-0.158,6.042,-9.277,-18.982
0.983,-0.091,-0.064,9.338,-12.207,-19.897
0.997,0.008,-0.103,15.076,-2.136,-5.249
1.005,0.016,-0.103,10.071,-5.127,-6.592
1.003,-0.035,-0.154,3.662,-2.869,-3.723
1.016,0.016,-0.075,-1.038,-10.986,1.038
1.032,-0.010,-0.105,-5.127,-6.531,-0.793
1.020,0.013,-0.032,-5.249,-7.202,3.967
0.989,-0.002,-0.071,-5.615,-0.488,-1.526
1.000,-0.041,0.001,0.977,-4.700,4.517
0.995,0.034,-0.081,0.366,6.531,5.432
0.978,0.019,-0.075,-6.042,4.333,5.005
0.974,0.050,-0.143,-3.479,8.972,6.775
0.962,0.002,-0.153,-6.104,6.165,3.113
0.966,0.042,-0.118,4.089,0.732,7.324
0.975,0.099,-0.109,6.104,2.686,4.456
0.981,0.018,-0.130,3.601,1.343,-1.892
0.974,0.009,-0.078,-1.587,-0.977,-1.099
0.977,0.062,-0.083,-3.174,0.427,-0.061
0.985,0.037,-0.108,-2.258,3.052,-3.967
0.982,0.037,-0.090,-4.639,1.465,-1.038
0.990,0.038,-0.148,-0.732,1.648,-4.333
0.977,-0.012,-0.105,3.723,-0.671,-3.540
0.978,-0.030,-0.141,3.235,2.136,1.099
0.978,0.035,-0.105,3.540,-0.610,3.967
0.984,0.032,-0.109,5.615,1.953,1.587
0.977,0.008,-0.110,5.310,-0.183,0.061
0.990,0.078,-0.073,-0.793,-0.305,3.174
1.000,0.042,-0.095,-3.967,2.319,-0.610
0.994,0.039,-0.085,-3.296,4.639,1.892
0.984,0.065,-0.123,-3.113,7.324,0.488
0.973,-0.066,-0.146,-1.221,4.211,-2.502
0.974,-0.002,-0.087,2.136,0.854,3.784
0.989,-0.039,-0.162,2.258,2.869,-0.916
0.985,0.030,-0.067,1.709,-2.197,5.737
0.984,0.056,-0.115,-0.366,3.784,-0.427
0.974,-0.008,-0.134,-1.709,4.333,-1.343
0.969,0.033,-0.137,0.000,4.517,0.000
0.957,-0.046,-0.146,0.061,4.883,-2.930
0.972,-0.000,-0.120,3.418,3.784,4.028
0.976,0.058,-0.173,7.080,6.470,2.014
0.974,-0.035,-0.171,3.418,1.221,-1.343
0.973,0.006,-0.125,5.310,-0.183,2.747
0.986,0.030,-0.121,2.747,0.000,1.343
0.980,0.055,-0.116,2.625,1.648,1.404
0.974,0.002,-0.131,0.732,1.038,-0.793
